feature,feature_category,correlation_with_class,abs_correlation_with_class,mean_class_0,mean_class_1,standardized_mean_gap,base_fraud_rate
V14_V12_interaction,INTERACTION,0.5719066340575772,0.5719066340575772,-0.10530858090020419,57.377765090346195,14.018633276364183,0.001667101358352777
V17_V16_interaction,INTERACTION,0.5314411979579107,0.5314411979579107,-0.09266292227980136,51.48905589956431,13.026740412620498,0.001667101358352777
V17_V12_interaction,INTERACTION,0.5299942256118491,0.5299942256118491,-0.12121516256517866,66.1261790630693,12.991272080077191,0.001667101358352777
V17_V14_interaction,INTERACTION,0.5282595595700946,0.5282595595700946,-0.11339464100039694,61.384719942773984,12.948751770557804,0.001667101358352777
V17_V10_interaction,INTERACTION,0.518305692715303,0.518305692715303,-0.11031319989498001,61.775102802073995,12.704761579136056,0.001667101358352777
V17,PCA,-0.313498272955669,0.313498272955669,0.010963389701460647,-6.463285283202743,7.684501384707847,0.001667101358352777
V14,PCA,-0.2933753847900256,0.2933753847900256,0.011667983931694605,-6.835946034242057,7.191247114069219,0.001667101358352777
amount_V17_interaction,RATIO,-0.28318764976951094,0.28318764976951094,0.059173921458794076,-20.34290273009239,6.9415243225077905,0.001667101358352777
V12,PCA,-0.25071117720571356,0.25071117720571356,0.009475752444318754,-6.103254016904439,6.145457741234409,0.001667101358352777
V10,PCA,-0.20697123823505162,0.20697123823505162,0.007663225565805389,-5.453274110501309,5.07329993182083,0.001667101358352777
V16,PCA,-0.18718605284535741,0.18718605284535741,0.007845091011250985,-4.000956270761194,4.588323465793212,0.001667101358352777
V3,PCA,-0.18232224748340006,0.18232224748340006,0.012853470958343296,-6.729598957711674,4.469101376668026,0.001667101358352777
V7,PCA,-0.1723465324400577,0.1723465324400577,0.010446877877581829,-5.175912109207488,4.224575640238021,0.001667101358352777
V11,PCA,0.14906710367009174,0.14906710367009174,-0.006003777751483107,3.7163466122536013,3.653947926945004,0.001667101358352777
V4,PCA,0.12932583072676718,0.12932583072676718,-0.010439974774329853,4.472591015834153,3.1700478472455993,0.001667101358352777
V18,PCA,-0.10533971521707147,0.10533971521707147,0.0051197569658972516,-2.157070884519879,2.582097757089656,0.001667101358352777
time_day_fraction,NORMALIZED,-0.016695697304993446,0.016695697304993446,0.6058803269678684,0.5061930594706757,0.4092466215181575,0.001667101358352777
Time,RAW,-0.012359339838080694,0.012359339838080694,94835.05809294165,80450.51374207188,0.30295338856056747,0.001667101358352777
log_amount,LOG,-0.007797909611204457,0.007797909611204457,3.154288523195147,2.8375490324196453,0.19114314933913706,0.001667101358352777
amount_to_mean_ratio,RATIO,0.005777019670480696,0.005777019670480696,0.9993318553095956,1.4001141395161274,0.1416068906496679,0.001667101358352777
amount_to_median_ratio,RATIO,0.005777019670480688,0.005777019670480688,4.018798852487481,5.63053911205074,0.14160689064966786,0.001667101358352777
Amount,RAW,0.005777019670480685,0.005777019670480685,88.41357475472458,123.87186046511628,0.14160689064966786,0.001667101358352777
